,client_id,filepath,group,label
37,2,face-station/03.05.18/002_07_064_2_82,train,attack/3D/flexiblemask
38,2,face-station/04.05.18/002_05_000_0_00,train,bonafide
39,2,face-station/04.05.18/002_05_000_0_01,train,bonafide
40,2,face-station/04.05.18/002_06_004_2_82,train,attack/3D/flexiblemask
41,2,face-station/07.05.18/002_07_000_2_82,train,attack/3D/flexiblemask
42,2,face-station/07.05.18/002_05_000_2_82,train,attack/3D/flexiblemask
43,2,face-station/07.05.18/002_06_000_2_82,train,attack/3D/flexiblemask
44,2,face-station/07.05.18/002_04_000_2_82,train,attack/3D/flexiblemask
45,2,face-station/07.05.18/002_06_000_0_00,train,bonafide
46,2,face-station/07.05.18/002_06_000_0_01,train,bonafide
47,2,face-station/08.05.18/002_07_000_0_00,train,bonafide
48,2,face-station/08.05.18/002_07_000_0_01,train,bonafide
49,2,face-station/15.05.18/002_05_019_2_13,train,attack/3D/rigidmask
50,2,face-station/22.05.18/002_06_018_2_81,train,attack/3D/flexiblemask
51,2,face-station/23.05.18/002_07_073_2_81,train,attack/3D/flexiblemask
52,2,face-station/23.05.18/002_07_073_2_13,train,attack/3D/rigidmask
53,2,face-station/23.05.18/002_05_073_2_81,train,attack/3D/flexiblemask
54,2,face-station/29.05.18/002_04_000_2_81,train,attack/3D/flexiblemask
55,2,face-station/29.05.18/002_05_000_2_81,train,attack/3D/flexiblemask
56,2,face-station/29.05.18/002_06_000_2_81,train,attack/3D/flexiblemask
57,2,face-station/29.05.18/002_07_000_2_81,train,attack/3D/flexiblemask
58,2,face-station/04.06.18/002_04_000_2_13,train,attack/3D/rigidmask
59,2,face-station/04.06.18/002_05_000_2_13,train,attack/3D/rigidmask
60,2,face-station/04.06.18/002_06_000_2_13,train,attack/3D/rigidmask
61,2,face-station/04.06.18/002_07_000_2_13,train,attack/3D/rigidmask
68,4,face-station/17.01.18/004_01_000_0_00,train,bonafide
69,4,face-station/07.02.18/004_02_000_0_00,train,bonafide
70,4,face-station/15.02.18/004_03_000_0_00,train,bonafide
71,4,face-station/04.05.18/004_06_000_0_00,train,bonafide
72,4,face-station/15.05.18/004_05_000_0_00,train,bonafide
73,4,face-station/16.05.18/004_07_000_0_00,train,bonafide
96,5,face-station/18.01.18/005_01_000_0_00,train,bonafide
97,5,face-station/18.01.18/005_01_000_0_01,train,bonafide
102,5,face-station/08.02.18/005_02_000_0_01,train,bonafide
103,5,face-station/08.02.18/005_02_000_0_00,train,bonafide
104,5,face-station/12.02.18/005_03_000_0_00,train,bonafide
105,5,face-station/12.02.18/005_03_000_0_01,train,bonafide
125,5,face-station/15.05.18/005_05_000_0_00,train,bonafide
126,5,face-station/15.05.18/005_05_000_0_01,train,bonafide
132,5,face-station/23.05.18/005_07_000_0_00,train,bonafide
133,5,face-station/23.05.18/005_07_000_0_01,train,bonafide
134,5,face-station/24.05.18/005_06_000_0_00,train,bonafide
135,5,face-station/24.05.18/005_06_000_0_01,train,bonafide
452,7,face-station/22.01.18/007_01_000_0_00,train,bonafide
453,7,face-station/22.01.18/007_01_000_0_01,train,bonafide
454,7,face-station/06.02.18/007_02_000_0_00,train,bonafide
455,7,face-station/06.02.18/007_02_000_0_01,train,bonafide
456,7,face-station/13.02.18/007_03_000_0_00,train,bonafide
457,7,face-station/13.02.18/007_03_000_0_01,train,bonafide
458,7,face-station/15.05.18/007_05_000_0_00,train,bonafide
459,7,face-station/15.05.18/007_05_000_0_01,train,bonafide
460,7,face-station/16.05.18/007_07_000_0_00,train,bonafide
461,7,face-station/16.05.18/007_07_000_0_01,train,bonafide
462,7,face-station/22.05.18/007_06_000_0_00,train,bonafide
463,7,face-station/22.05.18/007_06_000_0_01,train,bonafide
494,516,face-station/14.03.18/516_04_006_1_07,train,attack/3D/glasses
495,516,face-station/30.01.18/516_01_029_1_07,train,attack/3D/glasses
496,516,face-station/07.02.18/516_02_014_1_07,train,attack/3D/glasses
497,516,face-station/07.02.18/516_02_059_1_07,train,attack/3D/glasses
498,516,face-station/02.02.18/516_01_053_1_07,train,attack/3D/glasses
499,516,face-station/08.02.18/516_03_002_1_07,train,attack/3D/glasses
500,516,face-station/14.02.18/516_03_033_1_07,train,attack/3D/glasses
501,516,face-station/14.02.18/516_03_032_1_07,train,attack/3D/glasses
502,516,face-station/27.02.18/516_03_012_1_07,train,attack/3D/glasses
503,516,face-station/04.05.18/516_05_071_1_07,train,attack/3D/glasses
504,516,face-station/07.05.18/516_06_071_1_07,train,attack/3D/glasses
505,516,face-station/23.05.18/516_07_068_1_07,train,attack/3D/glasses
697,98,face-station/14.03.18/098_04_010_3_11,train,attack/2D/prints
698,98,face-station/14.03.18/098_04_010_3_12,train,attack/2D/prints
699,98,face-station/14.03.18/098_04_010_3_13,train,attack/2D/prints
700,98,face-station/14.03.18/098_04_010_3_14,train,attack/2D/prints
702,98,face-station/24.01.18/098_01_011_3_11,train,attack/2D/prints
707,98,face-station/15.03.18/098_04_000_3_11,train,attack/2D/prints
708,98,face-station/15.03.18/098_04_000_3_12,train,attack/2D/prints
709,98,face-station/15.03.18/098_04_000_3_13,train,attack/2D/prints
710,98,face-station/15.03.18/098_04_000_3_14,train,attack/2D/prints
722,98,face-station/29.01.18/098_01_023_3_12,train,attack/2D/prints
724,98,face-station/31.01.18/098_01_035_3_13,train,attack/2D/prints
725,98,face-station/07.02.18/098_02_033_3_14,train,attack/2D/prints
726,98,face-station/07.02.18/098_02_037_3_11,train,attack/2D/prints
728,98,face-station/07.02.18/098_02_063_3_12,train,attack/2D/prints
729,98,face-station/01.02.18/098_01_037_3_14,train,attack/2D/prints
730,98,face-station/01.02.18/098_01_039_3_11,train,attack/2D/prints
731,98,face-station/02.02.18/098_01_055_3_12,train,attack/2D/prints
733,98,face-station/02.02.18/098_01_058_3_12,train,attack/2D/prints
735,98,face-station/06.02.18/098_02_062_3_11,train,attack/2D/prints
736,98,face-station/06.02.18/098_02_007_3_11,train,attack/2D/prints
737,98,face-station/08.02.18/098_02_002_3_14,train,attack/2D/prints
739,98,face-station/08.02.18/098_02_047_3_12,train,attack/2D/prints
740,98,face-station/08.02.18/098_02_006_3_12,train,attack/2D/prints
741,98,face-station/08.02.18/098_02_032_3_14,train,attack/2D/prints
743,98,face-station/09.02.18/098_03_010_3_13,train,attack/2D/prints
744,98,face-station/09.02.18/098_03_049_3_14,train,attack/2D/prints
749,98,face-station/14.02.18/098_03_019_3_14,train,attack/2D/prints
750,98,face-station/14.02.18/098_03_018_3_12,train,attack/2D/prints
755,98,face-station/15.02.18/098_03_029_3_11,train,attack/2D/prints
757,98,face-station/19.02.18/098_02_000_3_11,train,attack/2D/prints
758,98,face-station/19.02.18/098_02_000_3_14,train,attack/2D/prints
759,98,face-station/19.02.18/098_02_000_3_12,train,attack/2D/prints
760,98,face-station/19.02.18/098_02_000_3_13,train,attack/2D/prints
761,98,face-station/16.02.18/098_03_043_3_12,train,attack/2D/prints
765,98,face-station/16.02.18/098_02_011_3_13,train,attack/2D/prints
774,98,face-station/22.02.18/098_03_000_3_11,train,attack/2D/prints
775,98,face-station/22.02.18/098_03_000_3_12,train,attack/2D/prints
776,98,face-station/22.02.18/098_03_000_3_13,train,attack/2D/prints
777,98,face-station/22.02.18/098_03_000_3_14,train,attack/2D/prints
802,98,face-station/28.02.18/098_01_062_3_14,train,attack/2D/prints
805,98,face-station/28.02.18/098_01_000_3_11,train,attack/2D/prints
806,98,face-station/28.02.18/098_01_000_3_12,train,attack/2D/prints
807,98,face-station/28.02.18/098_01_000_3_13,train,attack/2D/prints
808,98,face-station/28.02.18/098_01_000_3_14,train,attack/2D/prints
819,98,face-station/04.05.18/098_05_002_3_14,train,attack/2D/prints
820,98,face-station/04.05.18/098_05_002_3_13,train,attack/2D/prints
821,98,face-station/07.05.18/098_06_070_3_13,train,attack/2D/prints
826,98,face-station/15.05.18/098_05_018_3_11,train,attack/2D/prints
829,98,face-station/15.05.18/098_05_019_3_12,train,attack/2D/prints
832,98,face-station/16.05.18/098_07_069_3_13,train,attack/2D/prints
836,98,face-station/22.05.18/098_06_069_3_12,train,attack/2D/prints
837,98,face-station/22.05.18/098_06_068_3_14,train,attack/2D/prints
838,98,face-station/22.05.18/098_06_068_3_11,train,attack/2D/prints
841,98,face-station/23.05.18/098_07_006_3_11,train,attack/2D/prints
842,98,face-station/23.05.18/098_07_005_3_14,train,attack/2D/prints
843,98,face-station/23.05.18/098_07_005_3_12,train,attack/2D/prints
871,98,face-station/05.06.18/098_07_000_3_14,train,attack/2D/prints
872,98,face-station/05.06.18/098_05_000_3_11,train,attack/2D/prints
873,98,face-station/05.06.18/098_05_000_3_12,train,attack/2D/prints
874,98,face-station/05.06.18/098_05_000_3_13,train,attack/2D/prints
875,98,face-station/05.06.18/098_05_000_3_14,train,attack/2D/prints
876,98,face-station/05.06.18/098_06_000_3_14,train,attack/2D/prints
877,98,face-station/05.06.18/098_06_000_3_11,train,attack/2D/prints
878,98,face-station/05.06.18/098_06_000_3_12,train,attack/2D/prints
879,98,face-station/05.06.18/098_06_000_3_13,train,attack/2D/prints
880,98,face-station/05.06.18/098_07_000_3_11,train,attack/2D/prints
881,98,face-station/05.06.18/098_07_000_3_12,train,attack/2D/prints
882,98,face-station/05.06.18/098_07_000_3_13,train,attack/2D/prints
883,503,face-station/14.03.18/503_04_010_2_04,train,attack/3D/fakehead
884,503,face-station/31.01.18/503_01_019_2_04,train,attack/3D/fakehead
885,503,face-station/02.02.18/503_01_049_2_04,train,attack/3D/fakehead
886,503,face-station/06.02.18/503_02_003_2_04,train,attack/3D/fakehead
887,503,face-station/08.02.18/503_02_034_2_04,train,attack/3D/fakehead
888,503,face-station/09.02.18/503_02_000_2_04,train,attack/3D/fakehead
889,503,face-station/12.02.18/503_03_025_2_04,train,attack/3D/fakehead
890,503,face-station/13.02.18/503_03_046_2_04,train,attack/3D/fakehead
891,503,face-station/21.02.18/503_03_000_2_04,train,attack/3D/fakehead
892,503,face-station/27.02.18/503_01_000_2_04,train,attack/3D/fakehead
893,503,face-station/08.05.18/503_07_071_2_04,train,attack/3D/fakehead
894,503,face-station/15.05.18/503_05_004_2_04,train,attack/3D/fakehead
895,503,face-station/24.05.18/503_06_014_2_04,train,attack/3D/fakehead
896,503,face-station/29.05.18/503_06_000_2_04,train,attack/3D/fakehead
897,503,face-station/30.05.18/503_07_000_2_04,train,attack/3D/fakehead
898,503,face-station/30.05.18/503_05_000_2_04,train,attack/3D/fakehead
899,503,face-station/30.05.18/503_04_000_2_04,train,attack/3D/fakehead
935,506,face-station/14.03.18/506_04_010_2_07,train,attack/3D/fakehead
936,506,face-station/24.01.18/506_01_001_2_07,train,attack/3D/fakehead
937,506,face-station/30.01.18/506_01_031_2_07,train,attack/3D/fakehead
938,506,face-station/06.02.18/506_02_015_2_07,train,attack/3D/fakehead
939,506,face-station/06.02.18/506_02_061_2_07,train,attack/3D/fakehead
940,506,face-station/09.02.18/506_02_060_2_07,train,attack/3D/fakehead
941,506,face-station/09.02.18/506_02_000_2_07,train,attack/3D/fakehead
942,506,face-station/12.02.18/506_03_025_2_07,train,attack/3D/fakehead
943,506,face-station/12.02.18/506_03_035_2_07,train,attack/3D/fakehead
944,506,face-station/15.02.18/506_03_004_2_07,train,attack/3D/fakehead
945,506,face-station/21.02.18/506_03_000_2_07,train,attack/3D/fakehead
946,506,face-station/27.02.18/506_01_000_2_07,train,attack/3D/fakehead
947,506,face-station/03.05.18/506_07_064_2_07,train,attack/3D/fakehead
948,506,face-station/04.05.18/506_05_070_2_07,train,attack/3D/fakehead
949,506,face-station/23.05.18/506_06_019_2_07,train,attack/3D/fakehead
950,506,face-station/29.05.18/506_06_000_2_07,train,attack/3D/fakehead
951,506,face-station/30.05.18/506_05_000_2_07,train,attack/3D/fakehead
952,506,face-station/30.05.18/506_07_000_2_07,train,attack/3D/fakehead
953,506,face-station/30.05.18/506_04_000_2_07,train,attack/3D/fakehead
1136,501,face-station/14.03.18/501_04_010_2_02,train,attack/3D/fakehead
1137,501,face-station/26.01.18/501_01_017_2_02,train,attack/3D/fakehead
1138,501,face-station/31.01.18/501_01_032_2_02,train,attack/3D/fakehead
1139,501,face-station/07.02.18/501_02_036_2_02,train,attack/3D/fakehead
1140,501,face-station/01.02.18/501_01_045_2_02,train,attack/3D/fakehead
1141,501,face-station/08.02.18/501_02_005_2_02,train,attack/3D/fakehead
1142,501,face-station/09.02.18/501_02_000_2_02,train,attack/3D/fakehead
1143,501,face-station/14.02.18/501_03_053_2_02,train,attack/3D/fakehead
1144,501,face-station/21.02.18/501_03_000_2_02,train,attack/3D/fakehead
1145,501,face-station/27.02.18/501_01_000_2_02,train,attack/3D/fakehead
1146,501,face-station/22.05.18/501_05_068_2_02,train,attack/3D/fakehead
1147,501,face-station/22.05.18/501_06_068_2_02,train,attack/3D/fakehead
1148,501,face-station/23.05.18/501_07_072_2_02,train,attack/3D/fakehead
1149,501,face-station/29.05.18/501_06_000_2_02,train,attack/3D/fakehead
1150,501,face-station/30.05.18/501_07_000_2_02,train,attack/3D/fakehead
1151,501,face-station/30.05.18/501_05_000_2_02,train,attack/3D/fakehead
1152,501,face-station/30.05.18/501_04_000_2_02,train,attack/3D/fakehead
1186,513,face-station/14.03.18/513_04_006_1_04,train,attack/3D/glasses
1187,513,face-station/29.01.18/513_01_020_1_04,train,attack/3D/glasses
1188,513,face-station/07.02.18/513_02_030_1_04,train,attack/3D/glasses
1189,513,face-station/02.02.18/513_01_050_1_04,train,attack/3D/glasses
1190,513,face-station/06.02.18/513_02_058_1_04,train,attack/3D/glasses
1191,513,face-station/12.02.18/513_03_009_1_04,train,attack/3D/glasses
1192,513,face-station/20.04.18/513_06_066_1_04,train,attack/3D/glasses
1193,513,face-station/02.05.18/513_05_003_1_04,train,attack/3D/glasses
1194,513,face-station/16.05.18/513_07_007_1_04,train,attack/3D/glasses
1204,515,face-station/14.03.18/515_04_006_1_06,train,attack/3D/glasses
1205,515,face-station/29.01.18/515_01_021_1_06,train,attack/3D/glasses
1206,515,face-station/02.02.18/515_01_048_1_06,train,attack/3D/glasses
1207,515,face-station/06.02.18/515_02_046_1_06,train,attack/3D/glasses
1208,515,face-station/09.02.18/515_02_013_1_06,train,attack/3D/glasses
1209,515,face-station/12.02.18/515_03_005_1_06,train,attack/3D/glasses
1210,515,face-station/13.02.18/515_03_055_1_06,train,attack/3D/glasses
1211,515,face-station/15.05.18/515_05_006_1_06,train,attack/3D/glasses
1212,515,face-station/24.05.18/515_06_014_1_06,train,attack/3D/glasses
1213,515,face-station/25.05.18/515_07_014_1_06,train,attack/3D/glasses
1252,14,face-station/24.01.18/014_01_000_0_00,train,bonafide
1253,14,face-station/07.02.18/014_02_000_0_00,train,bonafide
1254,14,face-station/15.02.18/014_03_000_0_00,train,bonafide
1255,14,face-station/24.05.18/014_05_000_0_00,train,bonafide
1256,14,face-station/24.05.18/014_06_000_0_00,train,bonafide
1257,14,face-station/25.05.18/014_07_000_0_00,train,bonafide
1258,14,face-station/25.05.18/014_07_000_0_02,train,bonafide
1286,15,face-station/25.01.18/015_01_000_0_00,train,bonafide
1287,15,face-station/25.01.18/015_01_000_0_02,train,bonafide
1288,15,face-station/06.02.18/015_02_000_0_00,train,bonafide
1289,15,face-station/12.02.18/015_03_000_0_00,train,bonafide
1299,21,face-station/29.01.18/021_01_000_0_00,train,bonafide
1300,21,face-station/06.02.18/021_02_000_0_00,train,bonafide
1301,21,face-station/12.02.18/021_03_000_0_00,train,bonafide
1312,28,face-station/30.01.18/028_01_000_0_00,train,bonafide
1313,28,face-station/30.01.18/028_01_000_0_01,train,bonafide
1314,28,face-station/07.02.18/028_02_000_0_00,train,bonafide
1315,28,face-station/07.02.18/028_02_000_0_01,train,bonafide
1316,28,face-station/07.02.18/028_03_000_0_00,train,bonafide
1317,28,face-station/07.02.18/028_03_000_0_01,train,bonafide
1337,29,face-station/30.01.18/029_01_000_0_00,train,bonafide
1338,29,face-station/30.01.18/029_01_000_0_01,train,bonafide
1339,29,face-station/07.02.18/029_02_000_0_00,train,bonafide
1340,29,face-station/07.02.18/029_02_000_0_01,train,bonafide
1341,29,face-station/15.02.18/029_03_000_0_00,train,bonafide
1342,29,face-station/15.02.18/029_03_000_0_01,train,bonafide
1343,34,face-station/31.01.18/034_01_000_0_00,train,bonafide
1344,34,face-station/08.02.18/034_02_000_0_00,train,bonafide
1345,34,face-station/08.02.18/034_03_000_0_00,train,bonafide
1358,32,face-station/31.01.18/032_01_000_0_00,train,bonafide
1359,32,face-station/31.01.18/032_01_000_0_01,train,bonafide
1360,32,face-station/08.02.18/032_02_000_0_00,train,bonafide
1361,32,face-station/08.02.18/032_02_000_0_01,train,bonafide
1362,32,face-station/14.02.18/032_03_000_0_00,train,bonafide
1363,37,face-station/07.02.18/037_02_000_0_00,train,bonafide
1364,37,face-station/01.02.18/037_01_000_0_00,train,bonafide
1365,37,face-station/13.02.18/037_03_000_0_00,train,bonafide
1372,45,face-station/07.02.18/045_02_000_0_00,train,bonafide
1373,45,face-station/01.02.18/045_01_000_0_00,train,bonafide
1374,45,face-station/15.02.18/045_03_000_0_00,train,bonafide
1389,38,face-station/01.02.18/038_01_000_0_00,train,bonafide
1390,38,face-station/08.02.18/038_02_000_0_00,train,bonafide
1391,38,face-station/14.02.18/038_03_000_0_00,train,bonafide
1392,38,face-station/01.05.18/038_05_000_0_00,train,bonafide
1393,38,face-station/04.05.18/038_06_000_0_00,train,bonafide
1394,38,face-station/07.05.18/038_07_000_0_00,train,bonafide
1395,40,face-station/01.02.18/040_01_000_0_00,train,bonafide
1396,40,face-station/01.02.18/040_01_000_0_02,train,bonafide
1397,41,face-station/01.02.18/041_01_000_0_00,train,bonafide
1398,41,face-station/01.02.18/041_01_000_0_01,train,bonafide
1406,46,face-station/01.02.18/046_01_000_0_00,train,bonafide
1407,46,face-station/06.02.18/046_02_000_0_00,train,bonafide
1408,46,face-station/06.02.18/046_02_000_0_02,train,bonafide
1409,46,face-station/13.02.18/046_03_000_0_00,train,bonafide
1418,54,face-station/02.02.18/054_01_000_0_00,train,bonafide
1419,54,face-station/08.02.18/054_02_000_0_00,train,bonafide
1420,54,face-station/08.02.18/054_03_000_0_00,train,bonafide
1435,61,face-station/02.02.18/061_01_000_0_00,train,bonafide
1436,61,face-station/06.02.18/061_02_000_0_00,train,bonafide
1437,61,face-station/14.02.18/061_03_000_0_00,train,bonafide
1452,62,face-station/06.02.18/062_02_000_0_01,train,bonafide
1453,62,face-station/06.02.18/062_02_000_0_00,train,bonafide
1454,62,face-station/12.02.18/062_03_000_0_01,train,bonafide
1455,62,face-station/12.02.18/062_03_000_0_00,train,bonafide
1456,62,face-station/28.02.18/062_01_000_0_01,train,bonafide
1457,62,face-station/28.02.18/062_01_000_0_00,train,bonafide
1493,533,face-station/11.04.18/533_01_003_1_14,train,attack/3D/rigidmask
1494,533,face-station/11.04.18/533_01_004_1_14,train,attack/3D/rigidmask
1495,533,face-station/11.04.18/533_04_019_1_14,train,attack/3D/rigidmask
1496,533,face-station/20.04.18/533_05_066_1_14,train,attack/3D/rigidmask
1497,533,face-station/24.04.18/533_07_067_1_14,train,attack/3D/rigidmask
1498,533,face-station/03.05.18/533_06_003_1_14,train,attack/3D/rigidmask
1499,533,face-station/24.05.18/533_06_008_1_14,train,attack/3D/rigidmask
1500,533,face-station/25.06.18/533_07_019_1_14,train,attack/3D/rigidmask
1501,533,face-station/25.06.18/533_05_004_1_14,train,attack/3D/rigidmask
1502,533,face-station/25.06.18/533_06_018_1_14,train,attack/3D/rigidmask
1673,64,face-station/30.04.18/064_05_000_0_00,train,bonafide
1674,64,face-station/01.05.18/064_06_000_0_00,train,bonafide
1675,64,face-station/03.05.18/064_07_000_0_00,train,bonafide
1676,64,face-station/28.06.18/064_04_007_2_75,train,attack/3D/flexiblemask
1677,64,face-station/28.06.18/064_06_000_2_75,train,attack/3D/flexiblemask
1678,64,face-station/28.06.18/064_04_000_2_75,train,attack/3D/flexiblemask
1679,64,face-station/28.06.18/064_01_003_2_75,train,attack/3D/flexiblemask
1680,64,face-station/28.06.18/064_06_003_2_75,train,attack/3D/flexiblemask
1681,64,face-station/28.06.18/064_01_000_2_75,train,attack/3D/flexiblemask
1682,64,face-station/28.06.18/064_05_000_2_75,train,attack/3D/flexiblemask
1683,64,face-station/28.06.18/064_07_000_2_75,train,attack/3D/flexiblemask
1684,64,face-station/02.07.18/064_05_064_2_75,train,attack/3D/flexiblemask
1685,64,face-station/02.07.18/064_07_007_2_75,train,attack/3D/flexiblemask
1686,64,face-station/03.07.18/064_06_064_2_75,train,attack/3D/flexiblemask
1687,64,face-station/04.07.18/064_05_073_2_75,train,attack/3D/flexiblemask
1688,64,face-station/05.07.18/064_07_073_2_75,train,attack/3D/flexiblemask
1689,106,face-station/30.04.18/106_05_064_2_95,train,attack/3D/flexiblemask
1690,106,face-station/01.05.18/106_05_065_2_99,train,attack/3D/flexiblemask
1691,106,face-station/04.05.18/106_07_003_2_99,train,attack/3D/flexiblemask
1692,106,face-station/04.05.18/106_06_038_2_99,train,attack/3D/flexiblemask
1693,106,face-station/07.05.18/106_06_002_2_95,train,attack/3D/flexiblemask
1694,106,face-station/16.05.18/106_07_004_2_95,train,attack/3D/flexiblemask
1695,106,face-station/28.05.18/106_07_000_2_95,train,attack/3D/flexiblemask
1696,106,face-station/28.05.18/106_07_000_2_99,train,attack/3D/flexiblemask
1697,106,face-station/28.05.18/106_06_000_2_99,train,attack/3D/flexiblemask
1698,106,face-station/28.05.18/106_05_000_2_99,train,attack/3D/flexiblemask
1699,106,face-station/28.05.18/106_04_000_2_99,train,attack/3D/flexiblemask
1700,106,face-station/29.05.18/106_04_000_2_95,train,attack/3D/flexiblemask
1701,106,face-station/29.05.18/106_05_000_2_95,train,attack/3D/flexiblemask
1702,106,face-station/29.05.18/106_06_000_2_95,train,attack/3D/flexiblemask
1703,106,face-station/06.06.18/106_04_018_2_95,train,attack/3D/flexiblemask
1704,106,face-station/06.06.18/106_04_018_2_99,train,attack/3D/flexiblemask
1705,106,face-station/22.06.18/106_01_000_2_95,train,attack/3D/flexiblemask
1706,106,face-station/22.06.18/106_01_000_2_99,train,attack/3D/flexiblemask
1707,106,face-station/25.06.18/106_07_019_2_95,train,attack/3D/flexiblemask
1708,106,face-station/25.06.18/106_07_019_2_99,train,attack/3D/flexiblemask
1709,106,face-station/25.06.18/106_05_004_2_95,train,attack/3D/flexiblemask
1710,106,face-station/25.06.18/106_05_004_2_99,train,attack/3D/flexiblemask
1711,106,face-station/25.06.18/106_06_018_2_95,train,attack/3D/flexiblemask
1712,106,face-station/25.06.18/106_06_018_2_99,train,attack/3D/flexiblemask
1713,106,face-station/25.06.18/106_01_006_2_95,train,attack/3D/flexiblemask
1714,106,face-station/25.06.18/106_01_006_2_99,train,attack/3D/flexiblemask
1741,104,face-station/30.04.18/104_05_064_2_93,train,attack/3D/flexiblemask
1742,104,face-station/01.05.18/104_05_065_2_97,train,attack/3D/flexiblemask
1743,104,face-station/04.05.18/104_06_038_2_97,train,attack/3D/flexiblemask
1744,104,face-station/04.05.18/104_07_003_2_97,train,attack/3D/flexiblemask
1745,104,face-station/07.05.18/104_06_002_2_93,train,attack/3D/flexiblemask
1746,104,face-station/16.05.18/104_07_004_2_93,train,attack/3D/flexiblemask
1747,104,face-station/28.05.18/104_06_000_2_97,train,attack/3D/flexiblemask
1748,104,face-station/28.05.18/104_05_000_2_97,train,attack/3D/flexiblemask
1749,104,face-station/28.05.18/104_07_000_2_97,train,attack/3D/flexiblemask
1750,104,face-station/28.05.18/104_04_000_2_97,train,attack/3D/flexiblemask
1751,104,face-station/28.05.18/104_07_000_2_93,train,attack/3D/flexiblemask
1752,104,face-station/29.05.18/104_04_000_2_93,train,attack/3D/flexiblemask
1753,104,face-station/29.05.18/104_05_000_2_93,train,attack/3D/flexiblemask
1754,104,face-station/29.05.18/104_06_000_2_93,train,attack/3D/flexiblemask
1755,104,face-station/06.06.18/104_04_018_2_93,train,attack/3D/flexiblemask
1756,104,face-station/06.06.18/104_04_018_2_97,train,attack/3D/flexiblemask
1757,104,face-station/22.06.18/104_01_000_2_97,train,attack/3D/flexiblemask
1758,104,face-station/22.06.18/104_01_000_2_93,train,attack/3D/flexiblemask
1759,104,face-station/25.06.18/104_07_019_2_93,train,attack/3D/flexiblemask
1760,104,face-station/25.06.18/104_07_019_2_97,train,attack/3D/flexiblemask
1761,104,face-station/25.06.18/104_05_004_2_93,train,attack/3D/flexiblemask
1762,104,face-station/25.06.18/104_05_004_2_97,train,attack/3D/flexiblemask
1763,104,face-station/25.06.18/104_06_018_2_93,train,attack/3D/flexiblemask
1764,104,face-station/25.06.18/104_06_018_2_97,train,attack/3D/flexiblemask
1765,104,face-station/25.06.18/104_01_006_2_93,train,attack/3D/flexiblemask
1766,104,face-station/25.06.18/104_01_006_2_97,train,attack/3D/flexiblemask
1793,65,face-station/01.05.18/065_07_000_0_00,train,bonafide
1794,65,face-station/01.05.18/065_05_000_0_00,train,bonafide
